Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
44.0,1,1,8.0,2,1,3,1.0,3,3.0,1,2.0,1,4,1,0.0,3,22879.0
35.0,1,3,20.0,3,2,3,4.0,3,3.0,1,3.0,0,1,1,2.0,3,27306.0
47.0,1,3,7.0,3,1,4,4.0,3,5.0,1,3.0,0,2,1,2.0,3,29131.0
32.0,1,1,6.0,2,2,3,3.0,1,4.0,1,2.0,0,3,1,0.0,2,21220.0
59.0,1,1,9.0,1,2,3,4.0,0,3.0,2,6.0,0,2,1,2.0,1,21157.0
44.0,1,3,11.0,3,2,2,3.0,2,4.0,0,1.0,0,5,1,1.0,4,33213.0
32.0,1,1,35.0,2,1,2,4.0,0,4.0,2,2.0,0,3,1,0.0,1,17837.0
27.0,1,3,7.0,2,2,3,4.0,1,3.0,1,3.0,0,5,0,2.0,2,23974.0
38.0,0,3,8.0,2,2,2,4.0,1,3.0,0,4.0,0,5,1,1.0,2,20249.0
32.0,1,1,12.0,1,2,3,4.0,0,3.0,1,2.0,1,4,1,1.0,1,23499.0
40.0,1,1,30.0,1,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0
38.0,1,1,20.0,3,2,3,4.0,1,3.0,1,3.0,0,1,0,1.0,2,22963.0
35.0,0,3,6.0,3,0,3,3.0,3,3.0,3,2.0,0,5,1,0.0,3,23789.0
35.0,1,1,8.0,2,1,3,3.0,0,5.0,1,2.0,1,1,1,1.0,1,17074.0
34.0,1,1,17.0,3,2,3,6.0,0,3.0,1,2.0,0,5,0,1.0,1,22086.0
33.0,1,1,36.0,2,1,3,5.0,0,4.0,3,3.0,0,3,1,1.0,1,21515.0
51.0,1,1,15.0,2,2,3,3.0,0,3.0,0,4.0,0,3,1,0.0,1,17075.0
29.0,0,3,30.0,1,2,2,1.0,0,5.0,2,2.0,0,3,1,1.0,1,16091.0
34.0,0,3,25.0,3,2,3,2.0,1,3.0,2,1.0,1,2,1,2.0,2,20304.0
38.0,1,1,14.0,3,2,2,4.0,3,3.0,2,6.0,0,2,0,1.0,3,32342.0
46.0,1,1,6.0,3,2,3,3.0,3,5.0,1,1.0,0,2,0,0.0,3,24396.0
54.0,1,2,25.0,3,2,2,3.0,3,4.0,0,3.0,0,3,1,0.0,3,25725.0
56.0,1,1,15.0,3,2,2,3.0,4,3.0,1,1.0,0,4,0,0.0,0,26103.0
30.0,0,1,10.0,1,2,2,3.0,0,3.0,2,19.0,1,4,1,1.0,1,17285.0
26.0,1,1,6.0,3,2,3,3.0,0,5.0,2,1.0,0,5,1,2.0,1,17867.0
33.0,1,1,13.0,3,2,2,3.0,3,3.0,1,1.0,0,4,1,0.0,3,26691.0
24.0,1,1,23.0,2,2,3,4.0,0,4.0,1,2.0,0,3,1,1.0,1,17127.0
30.0,1,1,36.0,2,2,4,6.0,1,3.0,1,2.0,0,5,1,3.0,2,25062.0
33.0,0,3,8.0,3,1,3,3.0,1,4.0,2,1.0,0,1,0,0.0,2,20147.0
53.0,0,3,8.0,3,1,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0
29.0,0,3,14.0,2,2,3,4.0,1,5.0,3,2.0,0,3,1,2.0,2,23576.0
39.0,1,1,15.0,3,2,2,3.0,1,5.0,1,2.0,0,4,1,0.0,2,20151.0
46.0,1,3,9.0,2,2,4,4.0,1,4.0,1,2.0,0,5,1,3.0,2,23483.0
35.0,1,1,14.0,2,1,3,4.0,3,4.0,2,2.0,0,3,1,1.0,3,30672.0
35.0,0,3,9.0,3,1,4,4.0,0,3.0,1,8.0,0,5,0,1.0,1,20909.0
33.0,0,1,7.0,2,1,4,5.0,0,4.0,1,8.0,0,3,0,3.0,1,21010.0
29.0,0,1,16.0,2,1,2,4.0,0,3.0,3,2.0,0,4,1,0.0,1,21623.0
41.0,0,3,16.0,2,2,2,3.0,1,3.0,2,1.0,0,1,0,1.0,2,21230.0
43.0,1,1,36.0,3,2,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0
35.0,0,3,13.0,3,1,3,6.0,0,3.0,1,2.0,0,4,0,2.0,1,21029.0
41.0,1,3,12.0,2,1,3,3.0,3,3.0,2,4.0,1,1,0,0.0,3,28591.0
33.0,1,1,6.0,2,1,2,4.0,1,3.0,3,1.0,0,4,0,0.0,2,21949.0
40.0,0,1,15.0,3,0,2,3.0,3,3.0,3,1.0,0,4,0,0.0,3,28499.0
26.0,0,1,9.0,1,2,3,3.0,0,5.0,2,1.0,0,3,0,1.0,1,18102.0
41.0,1,1,25.0,2,2,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0
